emotion,example
remorse,"My father was a professor of physics in different colleges in Rajasthan, which is another state, and my mother was a housewife We were just——sorry, middle-class background My father and mother, they both concentrated more on our studies than games and so on and so forth, so we were always busy with studies Every summer, I went to my grandma's place and I remember good times over there A rural setting, very homely"
remorse,"Certainly one had some discussions here and there with perhaps -- but I think I began to have intellectual discussions later in life, that during the Presidency College days it was more like doing well in -- I mean we -- I am sorry if I sound unlike the other Presidency College people, but it really was a fact that there was a great deal of emphasis on the appearance of intellectual brilliance, and so that was -- I don't think that was a good influence I think what was good was that because there wasn't, certainly in English, a lot of books available -- I mean for us Pater's  Renaissance  was a secondary text on the Renaissance, you know, that kind of stuff -- we learned to think on our feet well Yeah, that's lasted me and from the point of view of education I had very solid teachers, yes, but the one who has really -- and I don't mean to be disrespectful of my other teachers They were good, strong, wonderful teachers,"
remorse,"I never wrote such political columns I never wrote in the college magazine or in newspapers So in that sense our paths were different, although at the base of it I think I too -- I was more distanced from it than him, as if it didn’t quite touch me Finally, you know, I moved into studying Tagore  when we went to live in Santiniketan for ten years It was a personal decision of -- I am sorry to use that word but it is probably true -- convenience"
remorse,"I thought, Well, this is cosmopolitan world of learning, where so many of us are gathered from everywhere Obviously the English were in a majority, but it didn’t matter one bit to me So I think I kind of moved into that world very naturally out of my own strong inclinations, and basically that’s where I have, you know, that is where I am, Kris I am standing fairly steadfastly with almost the world passing me by, world meaning my immediate world, that I don’t -- I am sorry to say this I don’t say this with any pride, but over the last three elections I haven't even voted"
remorse,"I mean, there’s nothing to stop it, then I will respond At this point of time my response has been very negative I am sorry, but that’s been my honest response Therefore it’s just my immediate world and since I left my research professorship in the Social Sciences Division at the Indian Statistical Institute at the age of 62 in 2004, I haven’t taken a job I just engage in reading and writing, so I am bit isolated, not so deliberately"
remorse,"People thought it was a joke, but I think after a month things were different I think I was accepted by their community of students, perhaps considered not to be a bad person either Things were not easy because there was a group who thought I was a misfit because I was not a Christian and sometimes we had problems but at one stage the faculty meeting, the Vice Chancellor, called the President, in Liberian situation like the American system, said that all the faculty should be in the service, the evening  service on Wednesdays for faculty I listened quietly, and then I wrote him a letter saying that when I applied for the job, I mentioned that I was not a Christian, that I was born as a Hindu andthat I don't practice religion"
remorse,"I had no intention of being the Vice Chancellor When I resigned the VC came to me and said, why you doing this I said, I am sorry I can't stay here anymore because it's getting difficult for me He tried to persuade me, but I didn't listen to him When I leave that the, you know, small stage and people who are in education believe smaller, the word reached the University of Liberia, which was a state-run university in Monrovia, the capital city"
remorse,"No, sorry let me clarify, my father was reading for the bar in London, his 2 brothers went to Germany he did not And this happened when he was in college you said the was in his 20s"
remorse,"Well, I had a, there was a joke on campus that I had almost every high level position you could think of any organization campus But yeah, but mainly primarily I was part of the Society with Indian Americans which is under the branch of the Asian American Student Union So most of us didn't know about AASU till about a year later When, and when I found out I got more involved with it I was also involved with student government for two years My last two years there, I was my see what's it, my third year at TechI was sorry, fourth year at Tech I was the student representative for AASU and then my 50, I was a student representative to SGA from SIA"
remorse,"Oh, uh, I used to be, Oh, this has been awhile I believe I used to be VP in 2016 while Tanisa was president And then, sorry if you don't know all these names Um, um, and then I became president in 2017 academic year And then, um, Jackie who may have given you my name and was VP and then"
realization,"My father realized the value of , that we should learn English So he always educated us in English-medium schools And at that time they were all Catholic missionary schools So even though I'm a Hindu, I went to Catholic schools for my education Because of that, I had a good command of English, which I think was the right thing for my father to do"
realization,"Peabody And it’s Vanderbilt University and Peabody College program I went—I went for my graduate school there, got admission, and start my work there And then I had figured out, you know, I—you know, I’ll start majoring in geography because my undergraduate degree was in geography uh and English and physics So, I was doing okay, uh then I had to try to figure out, you know, what I’m gonna do because a master’s degree in arts is not gonna get me a good job"
realization,"” You know He had a car, so he loaded us up and took us to his house And your auntie Prakash she was little  also And they let us talk to her for a little bit, you know And at that time, we found out that one of my professors when I was in the college, and her professor, they’re the same person"
realization,"or a vehicle at my home with a driver or all those things But she didn't occur to her, so she is kind of, these kind of thing M: Anyway, so she doesn't want to take care of family on her own then I don't know what to do, I was thinking and thinking and thinking, one time I thought okay, let me quit my job, go back to university Then I thought, this is a good opportunity, why should I lose it"
realization,"But this funny thing, the egg, the boiled egg, they put it on the container, like it was sitting on top of it And then they give me the fork and the knife Then I looked at it Then my table person understood, I’d never eaten or something like that, “oh you just cut it and you eat it ” They’re all kids, college kids, now I realize"
realization,"When you focus most on productivity you don’t have time for all kind of whatever nonsense and networking, and going somewhere and talking to people Having lunch, and cup of coffee Those were all, uh, kind of pulling me back, but I should done that Other thing is of course, I need to acknowledge that, even though we are bright and intelligent, our education system is different These people know how to do things, as a society"
realization,Laughing) my teacher said we would not so…thank you Dr Rush…tell me about a significant experience you had in Sri Lanka…I realize that’s a very…you probably had a lot of very significant experiences… You’re like nahh : Oh my God…ok About what Like…
realization,"*still laughing* and stuff) just feelings just getcha : Um but I never even questioned them because it was too scary umm But then when I came here I immediately looked for sources…also my gender identity I never felt in place with other people…because I went to a same-sex college…um school… and um… I dint have many guy friends so, but when I did have guy friends I was always with them…and umm… but for my…I just never fit in, I was always the odd ball…even here I’m the oddball because I’m a person of color, I’m an immigrant…that’s why…so I’ll always be the odd ball…but um…since I came here…uh…I looked for LGBT resources and I realized looking for that means I must have some kind of…uhhhh…I guess desire to understand myself…So then when I found Theta Pi Sigma and all the other on campus resources it helped me figure out…and uh…over the last year I’ve grown so much"
realization,"interesting place I later discovered and later realized that this was a whole road an our neighbors were college or university teachers So, I suppose that's how my"
realization,"and look at this man Muslim and so this later on I realized that this was a subtle policy to create division to go to some Muslim Officers and encouraged Muslims to have so already this trend was there anyway but one thing I must say that my ideas did not change as I said that I was just there for one year or so and then my father was again transferred He was posted at that time to a mufashal town near “Toadanga” you know from there he was transferred to “Barrackpur” in Calcutta but he used to stay there, we used to stay in “Dum Dum Junction”, very close to Calcutta and he used to travel by Train every morning and we had a big house there There I attended a school in Kumar Ashutosh’s Instituton Kumar Ashutosh Institution"
neutral,"When I came to America, I was able to adjust There was no language issues Gupta: So the schooling was nice These private missionary schools had a better standard of education They didn't openly try to convert people"
neutral,"I know my language We spoke Hindi at home and even in the social circles Only when I went to school, we had studies in English"
neutral,"Partly in India Most Indians, they migrate after they have finished college, after their basic degree 1 But I came to USA in the middle of my basic degree ​ ​ Gupta: So I came here at an early age at the age of about 18 and a half And I had been in college only for two years in India"
neutral,Generally there’s a four-year degree for the bachelor's That is a very interesting part of my life I'd gotten an International Rotary Club scholarship as a goodwill ambassador from India to the US 2 That's a one-year scholarship My father had worked very ​ ​ much with me to get that scholarship
neutral,"That's what brought about the change that I came to US and stayed here Gupta: Half of my degree in mechanical was in India and the other half was in the US in Kansas Manhattan, Kansas That's where I finished my BS And then I did very good, so they gave me an assistantship to do master's"
neutral,"And here, people grow up with cars and refrigerators, and they're so mechanical right from day one You probably could understand 1 Arun came to the US in the middle of his basic degree 2 Paul P Harris formed the first Rotary Club in Chicago in 1905"
neutral,"Very good question In India, those times when I was growing up, if you were good in school, if you got all As, first division, then you were expected to go into engineering At that time, mechanical engineering was at the top At that time, the computers were not even there Computers came in '80s, and we're talking about late '60s"
neutral,"Gupta: If you were very good in school, after graduating high school, you were expected to become mechanical engineering, even if you didn't have the aptitude If you're a little bit less, then you're supposed to take electrical, and if you're a little bit less than you go to civil And then if you could not hack the science side, then you went to be becoming a doctor, take biology Then if you were really not good at studying, then you went into commerce and then history and arts That was the order"
neutral,"I think many countries still do that Now things have changed If you're good at it or if you want to make money, you go to computers, IT Gupta: Actually, right now, a young student I know, and he's in mechanical engineering, and he's having a hard time finding a job as a mechanical engineer Everyone wants to hire IT guys or data processing"
neutral,"Initially, I had no desire to come to US because of the scholarship My father had gone to England He had gotten his Ph D"
