topic number,top 10 keywords,first meaningful,llr keywords,keybert keywords
0,"india, father, dad, came, mom, mother, family, parent, went, english",sadness,"['didn', 'know', 'trip', 'like', 'time', 'spent', 'away', 'appreciate', 'asset', 'cause']","['engineer', 'engineering', 'discrimination', 'grandfather', 'immigrant', 'occupation', 'father', 'pursue', 'parents', 'education']"
1,"college, job, carleton, money, wanted, year, went, business, computer, lot",sadness,"['school', 've', 'hard', 'better', 'grad', 'year', 'blow', 'huge', 'messed', 'miss']","['grad', 'transferring', 'struggle', 'rough', 'struggling', 'college', 'drive', 'grades', 'school', 'hard']"
2,"school, high, went, carolina, middle, north, preschool, private, leaving, kid",disgust,"['newspaper', 'talked', 'working', 'really', 'experience', 'came', 'feel', 'lot', 'didn', 'about24']","['school', 'schools', 'talk', 'principal', 'microaggressions', 'angry', 'handled', 'feel', 'felt', 'friends']"
3,"like, know, would, home, think, feel, learning, time, someone, okay",realization,"['early', 'teens', 'think', 'years', 'b11', 'definitions', 'sophomore', 'yeah', 'took', 'moment']","['realizing', 'sophomore', 'conversation', 'ability', 'learning', 'think', 'senior', 'school', 'moment', 'felt']"
4,"sort, student, rice, know, study, great, like, think, asian, ethnic",pride,"['rice', 'different', 'academically', 'passion', 'coming', 'america', 'automatically', 'baker', 'certain', 'continuing']","['studying', 'diaspora', 'study', 'campus', 'grad', 'participate', 'student', 'semester', 'students', 'semesters']"
5,"moved, house, lived, stayed, car, houston, california, hill, home, church",sadness,"['really', 'like', '70s', 'mean', 'understand', 'family', 'know', 'barely', 'leaving', 'college']","['college', 'families', 'moved', 'dc', 'texas', 'family', 'leaving', 'eventually', 'relationship', 'away']"
6,"gay, queer, like, feeling, gender, person, high, never, first, anything",disgust,"['panjabi', 'came', 'gay', 'board', 'boys', 'called', 'known', 'nurturing', 'oscar', 'folks']","['unfollowed', 'queer', 'closet', 'instagram', 'gay', 'followers', 'panjabi', 'community', 'write', 'bully']"
7,"sport, dance, high, team, college, popular, group, miss, wear, went",sadness,"['year', 'went', '11', 'center', 'china', 'holi', 'silc', 'tribute', 'think', 'just']","['friendships', 'relationships', 'dated', 'adolescent', 'daughter', 'younger', 'japan', 'traumatic', 'youth', 'college']"
8,"want, important, think, people, know, feel, responsibility, lot, young, always",gratitude,"['different', 'come', 'want', 'really', 'just', 'backgrounds', 'able', 'baton', 'childhood', 'diverse']","['diverse', 'diversity', 'beliefs', 'perspective', 'perceptions', 'experience', 'cultures', 'religion', 'understanding', 'learn']"
9,"medical, hospital, doctor, physician, training, health, medicine, could, try, opportunity",pride,"['physicians', 'president', 'editorial', 'message', 'read', 'tennis', 'wrote', 'foreign', 'student', 'time']","['physicians', 'physician', 'medical', 'medicine', 'graduate', 'graduates', 'foreign', 'college', 'student', 'graduated']"
10,"friend, friendship, met, actually, school, high, close, hang, people, group",joy,"['silc', 'enjoyed', 'somebody', 'just', 'elementary', 'guys', 'life', '1991', '1995', 'aparna']","['friendships', 'friendship', 'friends', 'chandannagar', 'mustaphi', 'silc', 'ramaswamy', 'life', 'talk', 'okay']"
11,"grade, seventh, think, high, school, friend, started, bit, went, middle",sadness,"['pretty', 'bit', 'friends', 'people', 'kind', 'got', 'little', 'thought', 'able', 'close']","['shy', 'adolescents', 'socially', 'youth', 'grade', 'school', 'kid', 'trauma', 'older', 'elementary']"
12,"white, asian, people, american, grew, friend, diverse, percent, different, kid",realization,"['lot', 'white', 'people', 'racism', 'central', 'fully', 'valley', 'just', 'grew', 'actually']","['racism', 'diverse', 'race', 'hispanic', 'bullying', 'mormon', 'white', 'school', 'influenced', 'community']"
13,"parent, school, good, mom, well, gone, every, letting, drop, felt",realization,"['just', 'okay', 'good', 'american', 'couldn', 'fully', 'let', 'sort', 'um', 'ways']","['parent', 'daughter', 'parents', 'grandfather', 'son', 'dad', 'sex', 'say', 'chicago', '19th']"
14,"association, project, minnesota, history, india, hour, year, grade, fall, wish",admiration,"['definitely', 'think', 'knowing', 'language', 'lot', 'love', 'really', 'say', '26definite', '3what']","['language', 'love', 'oral', 'knowing', 'advantage', 'learning', 'graduation', 'think', 'say', 'history']"
15,"christian, religion, like, church, think, catholic, batchu, lot, minor, much",admiration,"['interesting', 'grade', 'kindergarten', 'background', 'bit', 'culture', 'cultures', 'delivered', 'hand', 'handful']","['church', 'christian', 'bible', 'cultures', 'kindergarten', 'culture', 'indian', 'think', 'interesting', 'translation']"
16,"art, artist, chicago, work, started, something, kind, working, lot, camp",realization,"['dot', 'kind', 'philosophy', 'realized', 'artist', 'just', 'bridge', 'canon', 'connection', 'different']","['painting', 'art', 'philosophy', 'sociology', 'paint', 'artist', 'study', 'learn', 'felt', 'feel']"
17,"youth, voice, named, national, organization, started, director, durham, office, queer",pride,"['office', 'people', 'away', 'far', 'started', 'affairs', 'run', 'carleton', 'coming', 'conference']","['youth', 'organizations', 'inspired', 'started', 'network', 'developed', 'schooling', 'conferences', 'carleton', 'counseling']"
